Title,Year,Abstract
The Role of Family and School in Securing Psychological Well-Being of Primary School Children,2019,"The paper reviews the age spicific form of psychological well-being in primary school age as the  of the acquisition of a new social position and role of student that, according to C.Ryff, is the essence of psychological adaptation of the  to school. The  was aimed at exploring the conditions of psychological adaptation to school in chidlren as a process that promotes psychological well-being at this age. The  goals were as follows: to explore the character and dynamics of school adaptation in first-graders; to compare the notions of successful adaptation in teachers and s; to  the relationship between successful psychological adaptation to school and a) the features of the internal position of student, b) the type of  . The sample consisted of 122 first-graders (7-8 years old) and 110 s. It was empirically proven that all components of psychological well-being in primary school , namely: positive relations in the form of cooperation in joint educational activities with the teacher and peers; self-acceptance reed in the form of internal position of student as self-identification with the social role of the student; competence as mastering the means of learning activity and autonomy as an independent implementation of the latter; important goals in the form of meaningful acceptance of learning objectives; personal growth, expressed in the content and pace of individual progress in personal and metacognitive development - all these are determined by the psychological readiness of teachers and s to transform their relationships with the  and to establish adequate forms of educational cooperation. It is argued that disharmonious types of   interfere with the 's psychological adaptation to school."
The peer group as a context: Moderating effects on relations between maternal parenting and social and school adjustment in Chinese ,2005,"This 2-year longitudinal  examined, in a sample of Chinese  (initial M age=11 years), the moderating effects of the peer group on relations between maternal supportive  and social and school adjustment. Data were collected from multiple sources including peer assessments, teacher ratings, school records, and maternal reports. It was found that whereas group prosocial-cooperative functioning strengthened the role of supportive  in helping  develop social and school competence, group antisocial-destructive functioning undermined the contributions of supportive  to 's social and academic achievement. The  indicated the significance of the peer group as a social context for socialization and development in Chinese ."
Family Management Style Improves Family Quality of Life in Children With Epilepsy: A Randomized Controlled Trial,2020,"INTRODUCTION: Epilepsy is a common chronic disease with transient brain dysfunction and critically influences the quality of patients' family life. The aim of this  was to analyze the effectiveness of family management  on family quality of life in . METHODS: We randomized 130  to either the intervention group (n = 65) or the control group (n = 65). Family management  combined with routine care was applied in the intervention group within the first 24 hours after admission, whereas only routine care was applied in the control group. Family management  contains 3 steps: involve families into the intervention group and determine treatment plan, educate s on how to manage their family, and monitor quality of home management. Scores on the Beach Center Family Quality of Life Scale (FQOL) of 2 groups were collected at 3 time points: within the first 24 hours after admission (T1), 6 months after discharge (T2), and 12 months after discharge (T3). Repeated-measures analysis of variance of FQOL scores was used to evaluate difference. RESULTS: Full scores and each subscale's scores on FQOL in the control group and the intervention group at T1 had no statistical significance (P > .05). Scores on FQOL at T2 and T3 increased in the intervention group, but there was almost no change in the control group, with statistical significance between the intervention group and the control group (P < .05). Scores on FQOL at T1, T2, and T3 showed that score of subscale except  FQOL improved in the intervention group (P < .05), but no difference was shown in the control group (P > .05). There was no difference shown among the control group and the intervention group that interacted with time (P > .05). CONCLUSION: The family management  can effectively improve the family quality of life in  with epilepsy, especially at the satisfaction level of family emotional well-being and disability-related support."
THE RELATIONSHIP OF MATERNAL EMPLOYMENT TO PARENTING STYLE AND ATTITUDES: PARENTS FROM SINGLE AND TWO PAYCHECK FAMILIES,2009,
Overparenting and Narcissism in Young Adults: The Mediating Role of Psychological Control,2018,"Over, or helicopter , can be generally characterized as  that is well-intentioned, but over-involved and intrusive. This  of  has been especially highlighted in the lives of young adults, who may be inhibited by this form of  in the appropriate development of autonomy and independence. Over shares conceptual similarities with s' psychological control practices, which involve emotional and psychological manipulation of  (e.g., inducing guilt, withholding love as a form of control). Although these constructs contain key differences, both have been linked to narcissism in young adults, by way of al over-involvement in 's lives. Thus, we sought to explore al psychological control as a mediator between over and narcissism, including in regard to both grandiose and vulnerable narcissistic phenotypes. Participants included 380 young adult college students (age range: 18-26 years) who completed the Pathological Narcissism Inventory, as well as reports of their s' behaviors related to over and psychological control. Mediation analyses through Process in SPSS supported the hypothesized role of al psychological control as a mediator between over and narcissistic traits, including traits related to both grandiose and vulnerable narcissism. Effect sizes for each analysis were modest. This  further clarifies the nature of over, and speaks to the need for further  in establishing the mechanisms by which over may lead to narcissistic traits among young adults."
"Mothers' Power Assertion; Children's Negative, Adversarial Orientation; and Future Behavior Problems in Low-Income Families: Early Maternal Responsiveness as a Moderator of the Developmental Cascade",2015,"al power assertion, a key dimension of family environment, generally sets in motion detrimental developmental cascades; however, evidence suggests that other qualities of , such as responsiveness, can significantly moderate those processes. Mechanisms that account for such moderating effects are not fully understood. We propose a conceptual model of processes linking al power assertion, al responsiveness, 's negative, adversarial, rejecting orientation toward the , and behavior problems. We test that model in a short-term longitudinal design involving 186 low-income, ethnically diverse mothers and their toddlers. When  were 30 months, the dyads were observed in multiple, lengthy, naturalistic laboratory interactions to assess behaviorally mothers' responsiveness and their power-assertive control . At 33 months, we observed behavioral indicators of 's negative, adversarial, rejecting orientation toward the mothers in several naturalistic and standardized paradigms. At 40 months, mothers rated 's behavior problems. The proposed moderated mediation sequence, tested using a new approach, PROCESS (Hayes, 2013), was supported. The indirect effect from maternal power assertion to 's negative, adversarial orientation to future behavior problems was  when mothers' responsiveness was either low or average but absent when mothers were highly responsive. This  elucidates a potential process that may link al power assertion with behavior problems and highlights how positive aspects of  can moderate this process and defuse maladaptive developmental cascades. It  suggests possible targets for  intervention and prevention efforts."
Parenting and person correlates of prosocial behaviors in Asian Indian young adults,,"The primary goal of this  was to examine the intervening roles of prosocial moral reasoning and respect for family in associations between  attachment and prosocial behaviors in Asian Indian young adults. Participants included 281 Asian Indian young adults (60.5% women; M age = 21.45 years). Path analyses suggested that  attachment was positively associated with respect for family and prosocial moral reasoning. In turn, respect for family was positively associated with emotional, compliant, dire, and anonymous prosocial behaviors, while prosocial moral reasoning was positively associated with altruistic and negatively associated with public prosocial behaviors. Discussion focuses on the importance of both general and culture-specific mechanisms in explaining links between  and prosocial behaviors in Asian Indian young adults."
THE ROLE OF THE FAMILY IN AUTISTIC SPECTRUM CONDITIONS: THEORY AND PRACTICAL IMPLICATIONS,2009,"The role of the family in Autistic Spectrum Conditions (ASC) has a controversial history, but current  has identified a number of key relationships between the behaviors of the  with ASC and  stress and . The current review highlights a number of relationships between  stress,  behaviors, and  behavior problems in ASC samples, and identifies areas where current  is lacking. In particular, the following concerns need to be addressed: whether high  stress levels impact negatively on  outcomes following interventions for ASC; the nature of the relationship between  stress and  behavior problems over time; whether  stress impacts on  behaviors, and the types of  behaviors that are influential for subsequent  behavior problems in the context of ASC; whether any association between  behaviors and  behavior problems is a direct one; and whether the contact and communication experiences of s with professionals leading up to, and during, the diagnostic process is of particular significance. The  of such examinations may well have practical implications for the development of future interventions for ASC."
Do parental attributions affect treatment outcome in a parenting program? An exploration of the effects of parental attributions in an RCT of Stepping Stones Triple P for the ASD population,2009,This  was conducted in conjunction with a randomised controlled trial of the  program Stepping Stones Triple P for s of  with autism spectrum disorders (ASDs). Fifty-nine families with a  with ASD participated. This  focussed upon the role of al attributions in predicting treatment outcome. Stepping Stones altered al attributions such that following participation in Stepping Stones s were significantly less likely to believe that their 's misbehaviour was Caused by factors intrinsic to their  and more likely to believe that their 's ASD-related behaviour may change in the future. al attributions before the intervention significantly predicted change in the dysfunctional   over-reactivity and verbosity throughout the intervention. The implications of these findings are discussed in the context of developing a model for the role of al attributions in predicting treatment outcome. (C) 2008 Elsevier Ltd. All rights reserved.
EARLY MOTHER-CHILD BONDING FACTORS ASSOCIATED WITH CHILDREN OBESITY,2015,"The aim of this  is to describe the experience of a group of mothers with obese , regarding how early bond affects the relationship that both have with food and this, in turn, impacts on hood obesity. The   has a qualitative, exploratory and descriptive design. The sample consists of five chilean women between 22 and 39 years old, with obese  between 2 and 4 years old. In-depth interviews were carried out and open coding strategy was used as method of analysis. Results show a tendency of mothers to establish insecure attachment relations, difficulties of tuning and expression of affection, and a predominance of a permissive   around food. This has important implications for prevention and treatment of obesity, focusing on the attachment bond between mother and ."
Cross-Cultural Adaptation of the Brazilian Portuguese Version of the Caregiver's Feeding Styles Questionnaire,2020,"The   describes the cross-cultural adaptation of the Brazilian version (Rio de Janeiro) of the Caregiver's Feeding Styles Questionnaire (CFSQ) among caregivers of  aged 3 to 6 years enrolled in a family health service in Rio de Janeiro, Brazil. The cross-cultural adaptation process included the following phases: (1) literature review; (2) translation and back-translation of the instrument; (3) assessment of semantic equivalence through cognitive interviews with caregivers; (4) discussion with experts; (5) pretesting of the revised version; and (6) assessment of psychometric characteristics, including reliability and validity of the scale. Results showed the appropriateness of the caregiver's feeding  concept within the Brazilian culture and that the instrument was understandable to caregivers enrolled in a family health service. The CFSQ measurements showed perfect intra-observer reliability for demandingness and almost perfect for responsiveness. Inter-observer reliability was almost perfect for both dimensions, demandingness and responsiveness. Factor analysis of the Brazilian CFSQ version proposed an instrument with one dimension and 13 items. The satisfactory  of the cross-cultural adaptation of the CFSQ suggest its applicability in the population of interest with the possible reduction of some scale items."
The Family-Couple-Parenting Questionnaire: Development of a Measure for Long-Term Couples and Young Adults,2016,"This work describes the construction of family-couple- (FCP) question-naire, a new measure of three aspects related to the developmental path toward  choices, within the perspective of the family life cycle and attachment theory. Two studies are reported. Study I reports the development of the FCP questionnaire and its psychometric properties. Study 2 assesses the FCP's nomological validity by investigating group differences on FCP factors and links between FCP factors and romantic attachment (experience in close relationships revised) and recalled al bonding (al bonding instrument). Participants were 791 Italian participants: 405 young adults (203 students, 202 workers) and 193 couples (91 less-by-choice, 102 s-to-be). The  suggest that the FCP's stable psychometric structure and strong theoretical basis make FCP a useful instrument for  related to the path to hood."
"Paternal Self-efficacy, Fathering, and Children's Behavioral Problems in Korea",2019,"ObjectivesWith the introduction of co-, Korean society has begun demanding that fathers share -rearing responsibilities. In the  , we examined the association between fathers'  self-efficacy and 's behavioral problems via fathers'  behavior, after controlling for mothers'  self-efficacy, to clearly identify the importance of fathers in  rearing.MethodWe analyzed data from 1,463  and their fathers, which were available from the 2014 Panel Study on Korean Children, by employing structural equation modeling.ResultsThe  were as follows. First, the  revealed that there was a significant association between fathers with  self-efficacy and both warm and positive controlling al behaviors. Second, warm al behavior was significantly associated with both internalizing and externalizing problems, while fathers' positive controlling behavior was not linked to 's behavioral problems. Third, fathers'  self-efficacy had significant indirect effects on both internalizing and externalizing problems via warm al behavior.ConclusionsThese findings imply the importance of the role of fathers in the family, father- relationships for  development, and fathers'  self-efficacy in  rearing."
How Do Mothers and Fathers Influence Pediatric Injury Risk in Middle Childhood?,2010,"Objectives al influences are among the strongest behavioral correlates to unintentional injury outcome in early hood, but are less well understood as  develop. We implemented a prospective  design to  how  , - relationships, and al mental health influence injury during middle hood. We  considered the roles of  and  gender. Methods al influences were assessed from a sample of 584 first graders, plus their mothers and fathers. Injuries requiring medical treatment were assessed regularly over the subsequent 5 years. Logistic regression models examined how maternal and paternal  factors predicted injury among all , just boys, and just girls. Results Fathers who reported more positive relationships with their  had  protected from injury. This was particularly true of father-son relationships. No maternal traits predicted injury. Conclusions A positive father-, and especially a positive father-son relationship, may protect  from injury during middle hood."
"Perceived parenting styles and tobacco, alcohol and cannabis use among french adolescents: Gender and family structure differentials",2008,"Aims: To assess associations between al control or al emotional support and current tobacco, alcohol or cannabis use among 12-18-year-old students, according to gender and family structure (intact family, reconstituted family, single- family). Methods: A cross-sectional survey was conducted in a national reative sample in France (2003) of 6-12th grade students (N = 16 532), as a part of the ESPAD  (European Study Project on Alcohol and Other Drugs). The self-administered questionnaire included questions on last 30 days' consumption of alcohol, tobacco and cannabis as well as on socio-demographic characteristics, school characteristics, and some simple questions on al control and al emotional support. Logistic modelling was carried out and (adjusted Odds Ratio) Ora calculated, adjusted for age, al educational and characteristics of the school. Results: A negative relationship exists between al control and substance use, but this relationship is more marked for tobacco (OR a between 1.8 and 5.6 according to level of control, family status and gender) and cannabis (OR between 1.5 and 6.4) than for alcohol (OR a between 1.0 and 2.7). al control is more markedly related to substance use in girls than in boys. These tendencies were observed for intact families as well as for single- families or reconstituted families. al control has a greater impact than emotional support. Among girls, emotional support has a greater impact than among boys. Conclusions: There is a gradient relationship between al control and current consumption, especially among girls. Thus, there may be a need for al control, whatever the family structure."
Motherhood and Maternal Fitness of Mothers Whose Parental Rights Were Terminated in Israel: The Importance of Sexual Heteronormality and Legitimacy,2021,"Motherhood res a social construct that is given meaning within patriarchal systems of law and custom. The   analyzes the Israeli legal discourse surrounding motherhood,  capacity, and sexual conduct of marginalized women whose al rights were terminated. It examines how information about a mother's sexual heteronormal life  played a role in the construction of her motherhood as maternal unfitness. Drawing from 80 court decisions terminating al rights, three themes emerged: the bad wife as a marker of the bad mother, legitimate sexual life as a pre-condition to desirable , and negative views of women who give birth out of marriage. Maternal unfitness was associated with sexual immorality, illegitimacy, and inappropriate sexual choices. Alternative explanations of the findings are discussed from a critical feminist and legal perspective. Implications of the findings are outlined, particularly the need for women's voices to be heard in every decision-making process regarding state control of their , and the need for professionals to avoid bias against socially marginalized women and engage in critical reflective thinking regarding why information about a mother's sexual conduct and life  is considered relevant to any assessment of her al fitness and the 's best interest."
"Protective self-presentation, sources of socialization, and loneliness among Australian adolescents and young adults",2007,"This  assessed the relative impact of features of protective self-ation, key sources of socialization, and social anxiety on individual differences in loneliness among Australian adolescents and young adults. In Study 1, 281 high school students living with s completed self-report measures of loneliness, self-ation features (i.e., fear of negative evaluation, social competence),   (overprotection, care), peer relations (attachment, teasing) and social anxiety. Peer and  measures were significant predictors of loneliness, independent of self ation influences. Social anxiety  added to the model after controlling for all other measures. In Study 2, 170 undergraduates living independently completed measures of the same constructs. Paralleling findings from Study 1, protective self-ation features, peer relations, and social anxiety had unique effects on loneliness. As hypothesized, however,  measures did not add to the prediction model for young adults. Implications of findings are discussed in relation to understanding loneliness within high school and university age samples. (c) 2007 Elsevier Ltd. All rights reserved."
Parental reactions to 's negative emotions: Relationships with emotion regulation in  with an anxiety disorder,2015,"Research has demonstrated that al reactions to 's emotions play a significant role in the development of 's emotion regulation (ER) and adjustment. This  compared  reactions to 's negative emotions between families of anxious and non-anxious  (aged 7-12) and examined associations between  reactions and 's ER. Results indicated that  diagnosed with an anxiety disorder had significantly greater difficulty regulating a range of negative emotions and were regarded as more emotionally negative and labile by their s. Results  suggested that mothers of anxious  espoused less supportive al emotional  when responding to their 's negative emotions. Supportive and non-supportive  reactions to 's negative emotions related to 's emotion regulation skills, with father's non-supportive  showing a unique relationship to 's negativity/lability. (c) 2015 Elsevier Ltd. All rights reserved."
Interventions to Reduce Behavioral Problems in Children With Cerebral Palsy: An RCT,2014,"OBJECTIVE:To test Stepping Stones Triple P (SSTP) and Acceptance and Commitment Therapy (ACT) in a trial targeting behavioral problems in  with cerebral palsy (CP).METHODS:Sixty-seven s (97.0% mothers; mean age 38.7 7.1 years) of  (64.2% boys; mean age 5.3 3.0 years) with CP (Gross Motor Function Classification System = 15, 22%; II = 18, 27%; III =12, 18%; IV = 18, 27%; V = 4, 6%) participated and were randomly assigned to SSTP, SSTP + ACT, or waitlist. Primary outcomes were behavioral and emotional problems (Eyberg Child Behavior Inventory [ECBI], Strengths and Difficulties Questionnaire [SDQ]) and   ( Scale [PS]) at postintervention and 6-month follow-up.RESULTS:SSTP with ACT was associated with decreased behavioral problems (ECBI Intensity mean difference [MD] = 24.12, confidence interval [CI] 10.22 to 38.03, P = .003; ECBI problem MD = 8.30, CI 4.63 to 11.97, P < .0001) including hyperactivity (SDQ MD = 1.66, CI 0.55 to 2.77, P = .004), as well as decreased al overreactivity (PS MD = 0.60, CI 0.16 to 1.04, P = .008) and verbosity (PS MD = 0.68, CI 0.17 to 1.20, P = .01). SSTP alone was associated with decreased behavioral problems (ECBI problems MD = 6.04, CI 2.20 to 9.89, P = .003) and emotional symptoms (SDQ MD = 1.33, CI 0.45 to 2.21, P = .004). Decreases in behavioral and emotional problems were maintained at follow-up.CONCLUSIONS:SSTP is an effective intervention for behavioral problems in  with CP. ACT delivers additive benefits."
A Multidimensional Model of Mothers' Perceptions of Parent Alcohol Socialization and Adolescent Alcohol Misuse,2016,"We assessed a multidimensional model of  alcohol socialization in which key socialization factors were considered simultaneously to identify combinations of factors that increase or decrease risk for development of adolescent alcohol misuse. Of interest was the interplay between putative risk and protective factors, such as whether the typically detrimental effects on youth drinking of  practices tolerant of some adolescent alcohol use are mitigated by an effective overall approach to  and al modeling of modest alcohol use. The sample included 1,530 adolescents and their mothers; adolescents' mean age was 13.0 (SD = .99) at the initial assessment. Latent profile analysis was conducted of mothers' reports of their attitude toward teen drinking, alcohol-specific  practices, al alcohol use and problem use, and overall approach to . The profiles were used to predict trajectories of adolescent alcohol misuse from early to middle adolescence. Four profiles were identified: 2 profiles reflected conservative alcohol-specific  practices and 2 reflected alcohol-tolerant practices, all in the context of other attributes. Alcohol misuse accelerated more rapidly from Grade 6 through 10 in the 2 alcohol-tolerant compared with conservative profiles. Results suggest that maternal tolerance of some youth alcohol use, even in the presence of dimensions of an effective   and low al alcohol use and problem use, is not an effective strategy for reducing risky adolescent alcohol use."
A mechanism for gratitude development in a ,2016,"Most scholars consider gratitude as a moral emotion, with only few seeing it as a character trait. As a , no systematic mechanism has ever been attempted to develop gratitude in . Given the social issue of widespread lack of gratitude in the one- generations of China, this article attempts to outline a mechanism of al moral education for gratitude development. The mechanism is underpinned by love, induction and discipline; and theoretically justified in accordance with key psychological and sociological theories, such as Piaget's theory of moral development, Kohlberg's moral stages theory, attachment theory, Hoffman's internalisation theory, Rest's social justice theory and Baumrind's   theory. The benefits and potential risks of each strategy of the mechanism are addressed."
The Material Context of Adolescent Identity Formation: A Family Economic Stress Approach,2021,"Grounded in the family stress model and recent studies on cognitive effects of poverty, the current  examines how family material conditions relate to identity-relevant information processing among adolescents via family economic strain, family financial conflicts, and  behaviors. Data for the  come from the first wave of a longitudinal  on the development of adolescent goals in the context of socio-economic inequalities. The sample includes 1,268 adolescents (51.7% females; M = 14.87; SD = 0.39) attending 36 gymnasiums. Findings reveal that the family economic situation contributes to how adolescents process identity-relevant information, but these effects are primarily indirect. Specifically, better family material conditions are associated with more supportive al engagement in their 's identity-relevant decisions, which in turn is associated with higher levels of the information-oriented identity processing . Poorer family material conditions, economic pressures, and conflicts are associated with al interference and a lack of engagement, which in turn is associated with higher levels of diffuse-avoidant identity . The identity  themselves are known predictors for a wide array of outcomes. Therefore, our findings suggest that countering the adverse effects of socio-economic inequality may be crucial to break a self-perpetuation cycle of socio-economic adversity."
Psychological distress: Testing hypotheses based on Roy's adaptation model,2003,"This  examined the relationships among social support,  stress, coping , and psychological distress in s caring for  with cancer The hypothesis that coping  plays a mediating role between social support and  stress, and psychological distress was tested for both mothers and fathers. In total, 246 mothers and 195 fathers of 270  participated in the . Structural equation modeling was used to test the hypothesis. The findings indicate that the hypotheses derived from the Roy adaptation model were supported for both mothers and fathers. A longitudinal  is suggested to examine the circular process of stimulus, coping process, and adaptation outcomes."
"ATTACHMENT STYLE, INTIMACY AND TRUST IN YOUNG ADULTHOOD - A REFLECTION OF PERCEIVED PARENTAL SENSITIVITY",1993,"Bowlby's hypothesis that emotional security and autonomy experienced in the early attachment relationship with s, are causally related to later relational competence, was explored. Seventy-six students (62 girls. 11 boys and 3 of unknown gender), aged between 18 and 23 years (Mean age = 19.5 years) completed the al Bonding Instrument (Parker, 1983), which was used to probe for perceived emotional warmth and autonomy support, or in short perceived al sensitivity, during hood and adolescence. Relational competence measures included the subscales ''trust'' and ''intimacy'' of the Erikson Psychosocial Stage Inventory (EPSI) (Rosenthal el al., 1981), the subscales ''friendship'' and ''dating'' of the Revised EPSI (McPhail Gray et al., 1986) and an adult attachment  measure (Hazan & Shaver, 1987). Eleven weeks after the first assessment, 45 subjects (42 girls and 3 boys) completed the same instruments for a second time. Concurrent and time-lagged relationships between perceived al sensitivity on the one hand and the relational variables on the other hand, were examined. Results indicated that perceived al sensitivity was positively associated with basic trust and the capacity for intimacy and for friendship, even when  characteristics and relational competence were assessed 11 weeks apart. For mother, the perceived emotional warmth seemed especially important. For father, the perceived autonomy support beared the strongest relationship with later relational competence. In this , al sensitivity was not significantly associated with the young adults' attachment , nor with their readiness for a one-to-one exclusive relationship (dating). Although conclusions about causal relations would be premature, the   certainly invites for further exploration of Bowlby's hypothesis."
"Differential roles of early maladaptive schema domains on the link between perceived parenting behaviors and depression, anxiety, and anger",2020,"Research that focuses on the association between  and psychological problems provide consistent  indicating more severe levels of maladjustment being associated with high levels of al rejection and control. Nevertheless, it is equally important to understand the mechanisms that explain the relationship among these concepts. The   explored the role of Early Maladaptive Schema (EMS) domains in the relationship between  dimensions (rejection and control) and measures of anxiety, depression, and maladaptive anger expression in a sample of Turkish undergraduate students (N = 266, 188 female). Participants were administered scales that assess maternal rejection and control, EMS, anxiety, depression, and anger. Results revealed that perceived maternal rejection and control in hood might have substantial influence in adult functioning. More specifically, the association between maternal rejection and psychological symptoms was mediated by disconnection schema domain. On the other hand, maternal control was linked to anxiety and depression through impaired autonomy schema domain, but its association with anger was through impaired limits schema domain. Findings indicate differential roles of schema domains on the relation between  behaviors and psychological distress measures."
Predictors of Immigrant Children's School Achievement: A Comparative Study,2009,"This paper examines the predictors and indicators of immigrant 's school achievement, using the two of the most predominant groups of American immigrants (103 Koreans and 100 Mexicans). Regression analyses were conducted to determine which independent variables (acculturation,  school involvement,  ,  education,  English, family income, length of stay in the United States) were the predictors of 's school achievement. For the total sample, an overall model of four predictors (acculturation,  ,  education, and length of stay in the United States) on school achievement was significant. While acculturation,  , and family income were significant predictors for the Korean sample,  education and length of stay in the United States were significant predictors for the Mexican sample. Practice implications and suggestions for the intervention were discussed based on the  findings."
Using a Behavioural Family Intervention to Produce a Three-Generational Benefit on Family Outcomes: A Case Report,2013,"Background: Grands have a significant role in providing regular  care to their grand. As such, they are in a unique position to help with the prevention of  disruptive disorders. However, the -care role grands provide can  negatively impact the grand- relationship. Aims: This case  examined the impact of a  program designed specifically for grands on a grand providing regular  care to her granddaughter. Method: A case  is ed of a 56-year-old grandmother providing between 31-40 hours of care per week to her granddaughter, who is at risk of developing an early onset  disruptive disorder. The grand was measured on outcomes of  behaviour;  ;  confidence; psychological wellbeing in terms of stress, depression, and anxiety; and relationship satisfaction with the . The  was  measured on  behaviour outcomes and relationship satisfaction with the grand. Measures were given at baseline, post-intervention, and at 6-month follow-up. Results: The grand reported significant reductions in stress, anxiety and depression; improved relationship satisfaction with the ; and decreased reliance on dysfunctional  practices. The   reported decreased  behaviour problems and increased relationship satisfaction with the grand. No findings were found for  confidence. Conclusion: This case  provides encouraging findings for a new  program designed specifically for grands, and it is recommended that future  evaluate its efficacy in a randomised controlled trial."
Pressuring and Restrictive Feeding Styles Influence Infant Feeding and Size among a Low-Income African-American Sample,2013,"Objective: The prevalence of overweight among infants and toddlers has increased dramatically in the past three decades, highlighting the importance of identifying factors contributing to early excess weight gain, particularly in high-risk groups. al feeding  and the attitudes and behaviors that characterize al approaches to maintaining or modifying 's eating behavior are an important behavioral component shaping early obesity risk. Design and Methods: Using longitudinal data from the Infant Care and Risk of Obesity Study, a cohort  of 217 African-American mother-infant pairs with feeding , dietary recalls, and anthropometry collected from 3 to 18 months of infant age, we examined the relationship between feeding , infant diet, and weight-for-age and sum of skinfolds. Results: Longitudinal mixed models indicated that higher pressuring and indulgent feeding  scores were positively associated with greater infant energy intake, reduced odds of breastfeeding, and higher levels of age-inappropriate feeding of liquids and solids, whereas restrictive feeding  were associated with lower energy intake, higher odds of breastfeeding, and reduced odds of inappropriate feeding. Pressuring and restriction were  oppositely related to infant size with pressuring associated with lower infant weight-for-age and restriction with higher weight-for-age and sum of skinfolds. Infant size  predicted maternal feeding  in subsequent visits indicating that the relationship between size and feeding  is likely bidirectional. Conclusion: Our  suggest that the degree to which s are pressuring or restrictive during feeding shapes the early feeding environment and, consequently, may be an important environmental factor in the development of obesity."
Overnight care patterns following parental separation: Associations with emotion regulation in infants and young ,2013,"Children living in a shared-time  arrangement following separation ( known as joint physical custody or dual residence) spend equal or near-equal amounts of day and night time with each . Little data exist regarding developmental sequelae of such arrangements for infants. The current  examined a theoretically driven question: Are there associations between quantum of overnight stays away from a primary resident  and the infant's settledness, or emotion regulation with that ? Nationally reative  report data from the Longitudinal Study of Australian Children (LSAC) were used. Three age bands were studied and three levels of overnight care contrasted. When  , al conflict and socio-economic factors were controlled for, greater number of shared overnight stays for the 0-1 year old and the 2-3 year old groups predicted some less settled and poorly regulated behaviours, but none for the 4-5 year old group. Limits of these data are discussed, including application to the individual case. Findings suggest emotional regulation within the primary infant- relationship is one useful index of infant adjustment to  time arrangements."
Restrictive and Supportive Parenting: Effects on Children's School Affect and Emotional Responses,2010,"In this project upper primary school students were surveyed about their general liking for school, and reasons for going to school. Their s were asked to respond on a questionnaire indicating their restrictiveness and  support for their 's autonomy. Data were collected from 92 middle SES two- families and analysed using SmartPLS path modelling. It was found that  of mothers high on autonomy support enjoyed school more, and endorsed cognitive learning reasons for attending. Restrictive  (in either mothers or fathers) did not relate significantly to school affect, but was associated with elevated levels of negative emotional symptoms, notably loneliness and unhappiness."
Influence of social factors on the relation between lie-telling and 's cognitive abilities,2017,"Lie-telling may be part of a normative developmental process for . However, little is known about the complex interaction of social and cognitive factors related to this developmental behavior. The current  examined  , maternal exposure to stressors, and 's cognitive abilities in relation to 's antisocial lie-telling behavior in an experimental setting. Children (3-6 years, N = 157) participated in a modified temptation resistance paradigm to elicit spontaneous lies. Results indicate that high authoritative  and high inhibitory control interact to predict a lower propensity to lie, but those who did lie had better semantic leakage control. This suggests that although 's lie-telling may be normative during early development, the relation to 's cognitive abilities can be moderated by responsive  behaviors that discourage lying. (C) 2017 Elsevier Inc. All rights reserved."
Outcomes and Mechanisms of Change of the Strengthening Families Program in a Clinical Sample of Children and Their Families in Austria,2022,"Family context and  behavior have the greatest influence on 's mental health and well-being, and interventions that take the whole family system into account are promising. This  aims to evaluate the outcomes, i.e., family strength,  behavior, and  behavior, of the Strengthening Families Program (SFP), developed by Kumpfer which was implemented in an outpatient clinic of a community-based non-governmental organization in Austria between 2012 and 2018. Furthermore, the program's mechanism of change as formulated by the program authors (i.e., to what extent  behavior mediates the relationship between family strength and  behavior) was tested in this clinical sample. Instruments measuring family strength,  behavior, and  behavior were administered before, immediately after, and 6 months after participation in the SFP. To test the mechanisms of change, a half-longitudinal model was applied with two measurement points (before and after). A total of 62 families (50 boys, 24 girls, and 69 s) participated in the culturally adapted SFP. Regarding the outcomes of the program, all variables yielded significant improvement in all variables. With respect to the mechanism of change, no significant association between the variables could be found. Implications for the implementation of the SFP in a clinical population and how further adaptation of the program could enhance the adherence of this target group are discussed."
Defining and measuring parenting for educational success: A Critical Discourse Analysis of the Parent Education Profile,2008,"The  Education Profile (PEP) is an instrument used by family literacy programs to rate s' support for 's literacy development. This article uses Critical Discourse Analysis to examine how the PEP constructs the ideal , the text's underlying assumptions about  and education, and its ideological effects. The analysis shows how many features of the PEP evaluate s according to a middle-class, predominantly White model of  and family-school interaction. Furthermore, the PEP tends to assume a universal, normative model of al support for literacy, al (mothers') responsibility for educational outcomes, equal access to resources required to meet the PEP standards, and a limited al role in assessment. In so doing, the PEP lends support to several dominant discourses regarding poor and minority families, such as the discourse of  involvement and the mothering discourse, which encourages mothers' supplementary educational work. Implications for policy, , and practice are discussed."
Family predictors of -to-parent violence: the role of family discipline.,2015,"Child-to- violence is a social problem that is qualitatively different from other types of family violence, since adolescents direct their violence toward those who should re authority and provide for their welfare. The main goal of this  was to analyze the role of family relationships and family discipline on violent and prosocial behavior by adolescents toward their s. Participants were 585  aged between 12 and 18 from 8 schools in the Autondinous Community of the Basque Country (Spain). Results show that family relationships based on affect and communication are those that promote prosocial behaviors by  and reduce their violent behaviors at home. However, power-assertive al discipline strategies and partially punitive strategies (monitoring and penalty) were associated to more physical and psychological violence by adolescents toward their s. Finally, implications of these findings for  education are discussed."
